scenario_id,treatment_id,requested_observation_id,request_kind,requested_value_lexeme,returned_value_lexeme,locator,addressable,expected_addressable,exact_match,repetitions_agreeing
validation_002,B3,4af2e0e7825c9f2ac443,official,19.25,19.25,vintage_key,yes,yes,yes,3
validation_002,B3,506a60e86fb32d9c608b,official,3.66,3.66,vintage_key,yes,yes,yes,3
validation_002,B3,5fab5a82719cacffcbe4,official,-1.14,-1.14,vintage_key,yes,yes,yes,3
validation_002,B3,69745dd19d776c69570e,official,11.05,11.05,vintage_key,yes,yes,yes,3
validation_002,B3,69a1ecde0bf18c3a84ae,official,-0.72,-0.72,vintage_key,yes,yes,yes,3
validation_002,B3,6ad6dfc4b05d0f292d1f,official,11.05,11.05,vintage_key,yes,yes,yes,3
validation_002,B3,6fbf4aae1b9a6de0051a,official,1.13,1.13,vintage_key,yes,yes,yes,3
validation_002,B3,72e8553f361951a0c2c8,official,-0.21,-0.21,vintage_key,yes,yes,yes,3
validation_002,B3,74fed6e1c3d917191be6,official,-3.26,-3.26,vintage_key,yes,yes,yes,3
validation_002,B3,87cdfc70ee6d45666fec,official,12.04,12.04,vintage_key,yes,yes,yes,3
validation_002,B3,9fcd6d7d4f2e24e56db1,official,-1.14,-1.14,vintage_key,yes,yes,yes,3
validation_002,B3,9fe0a3bb2baed4ce3810,official,1.16,1.16,vintage_key,yes,yes,yes,3
validation_002,B3,a16c09b869c2ad72a4ea,official,-4.03,-4.03,vintage_key,yes,yes,yes,3
validation_002,B3,a34fc65bf470c1e7ce20,official,-0.72,-0.72,vintage_key,yes,yes,yes,3
validation_002,B3,ad8a7f5c7869af674e3a,official,2.76,2.76,vintage_key,yes,yes,yes,3
validation_002,B3,b55b4fefc9148be667c1,official,1.15,1.15,vintage_key,yes,yes,yes,3
validation_002,B3,bc696217068415ca73e2,official,-4.03,-4.03,vintage_key,yes,yes,yes,3
validation_002,B3,cb0d5147421c66597d95,official,1.18,1.18,vintage_key,yes,yes,yes,3
validation_002,B3,cfe502c53f19a90449e6,official,1.13,1.13,vintage_key,yes,yes,yes,3
validation_002,B3,d3d17696ddd6a7bcb743,official,-0.69,-0.69,vintage_key,yes,yes,yes,3
validation_002,B3,d99bc3566095bc6ee582,official,51.16,51.16,vintage_key,yes,yes,yes,3
validation_002,B3,deabb3549fa520121850,official,19.30,19.30,vintage_key,yes,yes,yes,3
validation_002,B3,df8ae4a2843995c9185d,official,-0.19,-0.19,vintage_key,yes,yes,yes,3
validation_002,B3,e06e475e6f5cb8748897,official,-4.07,-4.07,vintage_key,yes,yes,yes,3
validation_002,B3,e313de2e0e1a97bc17ff,official,51.20,51.20,vintage_key,yes,yes,yes,3
validation_002,B3,edde0b27f2f31f5fb962,official,13.10,13.10,vintage_key,yes,yes,yes,3
validation_002,B3,f2b9db071dd4766d6307,official,4.18,4.18,vintage_key,yes,yes,yes,3
validation_002,B3,f4b6cbcb460eaef0f82e,official,4.18,4.18,vintage_key,yes,yes,yes,3
validation_002,B3,f831d08aa91c95864cd0,official,2.52,2.52,vintage_key,yes,yes,yes,3
